date,statement
08/04/2016,"August 04, 2016

For release at 10:00 a.m. EDT                     
                
                

Share

The Federal Reserve plans to continue its previously announced periodic testing of the Term Deposit Facility (TDF) with one operation in August. These operations are aimed at ensuring the operational readiness of the TDF and providing eligible institutions with an opportunity to maintain familiarity with term deposit procedures. The TDF test operations are a matter of prudent planning and have no implications for the near-term conduct of monetary policy. The Federal Reserve plans to conduct a similar routine TDF test operation each quarter in 2016. The schedule and terms for future test operations will be announced at later dates.

On August 11, 2016, the Federal Reserve will conduct a floating-rate offering of term deposits with an early withdrawal feature through its TDF. The Federal Reserve will offer seven-day term deposits with a rate set equal to the sum of the interest rate paid on excess reserves plus a fixed spread of 1 basis point. The maximum tender amount per institution will be $5,000,000,000. The operation window will be open from 10:30 a.m. EDT to 12:30 p.m. EDT, and awarded deposits will settle the same day the operation is executed.

Description of Operation and Tender Parameters

Submission of Tender
Participants must submit tenders by accessing the Term Deposit Facility application (https://www.federalreserve.org/arrow/ARROWWeb/home.do) between the opening time and the closing time on the operation date.

All tenders that are complete and compliant with the operation parameters listed above will be automatically awarded in full.

Early Withdrawal
The penalty for obtaining a return of funds prior to the maturity date includes the forfeiture of all interest on the term deposit plus an additional fee of 0.75000 percent at an annual rate applied to the principal over the entire term of the deposit. Requests for early withdrawal must be made between 10:00 a.m. EDT and 12:00 p.m. EDT.

See the TDF Resource Center for additional details regarding this feature and the terms and conditions for early withdrawal (www.frbservices.org/centralbank/term_deposit_facility.html).

Notification
Participants will be able to view their awards by accessing the Term Deposit Facility application.

Summary operation results will be published on the Board of Governors' website (http://www.federalreserve.gov/monetarypolicy/tdf.htm) at approximately 3:30 p.m. EDT on the notification date.

The operation will be conducted as specified in this announcement, Regulation D, and the terms and conditions of the Term Deposit Facility (http://www.frbservices.org/centralbank/term_deposit_facility.html).

Additional information, including the steps that institutions must complete to be eligible to participate in term deposit operations are available at http://www.frbservices.org/centralbank/term_deposit_facility.html.

For media inquiries, call 202-452-2955."
07/27/2016,"July 27, 2016

For release at 2:00 p.m. EDT                     
                
                

Share

Information received since the Federal Open Market Committee met in June indicates that the labor market strengthened and that economic activity has been expanding at a moderate rate. Job gains were strong in June following weak growth in May. On balance, payrolls and other labor market indicators point to some increase in labor utilization in recent months. Household spending has been growing strongly but business fixed investment has been soft. Inflation has continued to run below the Committee's 2 percent longer-run objective, partly reflecting earlier declines in energy prices and in prices of non-energy imports. Market-based measures of inflation compensation remain low; most survey-based measures of longer-term inflation expectations are little changed, on balance, in recent months.

Consistent with its statutory mandate, the Committee seeks to foster maximum employment and price stability. The Committee currently expects that, with gradual adjustments in the stance of monetary policy, economic activity will expand at a moderate pace and labor market indicators will strengthen. Inflation is expected to remain low in the near term, in part because of earlier declines in energy prices, but to rise to 2 percent over the medium term as the transitory effects of past declines in energy and import prices dissipate and the labor market strengthens further. Near-term risks to the economic outlook have diminished. The Committee continues to closely monitor inflation indicators and global economic and financial developments.

Against this backdrop, the Committee decided to maintain the target range for the federal funds rate at 1/4 to 1/2 percent. The stance of monetary policy remains accommodative, thereby supporting further improvement in labor market conditions and a return to 2 percent inflation.

In determining the timing and size of future adjustments to the target range for the federal funds rate, the Committee will assess realized and expected economic conditions relative to its objectives of maximum employment and 2 percent inflation. This assessment will take into account a wide range of information, including measures of labor market conditions, indicators of inflation pressures and inflation expectations, and readings on financial and international developments. In light of the current shortfall of inflation from 2 percent, the Committee will carefully monitor actual and expected progress toward its inflation goal. The Committee expects that economic conditions will evolve in a manner that will warrant only gradual increases in the federal funds rate; the federal funds rate is likely to remain, for some time, below levels that are expected to prevail in the longer run. However, the actual path of the federal funds rate will depend on the economic outlook as informed by incoming data.

The Committee is maintaining its existing policy of reinvesting principal payments from its holdings of agency debt and agency mortgage-backed securities in agency mortgage-backed securities and of rolling over maturing Treasury securities at auction, and it anticipates doing so until normalization of the level of the federal funds rate is well under way. This policy, by keeping the Committee's holdings of longer-term securities at sizable levels, should help maintain accommodative financial conditions.

Voting for the FOMC monetary policy action were: Janet L. Yellen, Chair; William C. Dudley, Vice Chairman; Lael Brainard; James Bullard; Stanley Fischer; Loretta J. Mester; Jerome H. Powell; Eric Rosengren; and Daniel K. Tarullo. Voting against the action was Esther L. George, who preferred at this meeting to raise the target range for the federal funds rate to 1/2 to 3/4 percent.

Implementation Note issued July 27, 2016"
07/12/2016,"July 12, 2016

For release at 2:00 p.m. EDT                     
                
                

Share

The Federal Reserve Board on Tuesday released the minutes of its discount rate meetings for May 23 and June 13, 2016.

The minutes are attached.

For media inquiries, call 202-452-2955."
07/06/2016,"July 06, 2016

For release at 2:00 p.m. EDT                     
                
                

Share

The Federal Reserve Board and the Federal Open Market Committee on Wednesday released the attached minutes of the Committee meeting held on June 14-15, 2016. A summary of economic projections made by Federal Reserve Board members and Reserve Bank presidents for the meeting is also included as an addendum to these minutes.

The minutes for each regularly scheduled meeting of the Committee ordinarily are made available three weeks after the day of the policy decision and subsequently are published in the Board's Annual Report. The descriptions of economic and financial conditions contained in these minutes and in the Summary of Economic Projections are based solely on the information that was available to the Committee at the time of the meeting.

FOMC minutes can be viewed on the Board's website at http://www.federalreserve.gov/monetarypolicy/fomccalendars.htm

Minutes of the Federal Open Market Committee
June 14-15, 2016: HTML | PDF

For media inquiries, call 202-452-2955."
06/28/2016,"June 28, 2016

For release at 2:00 p.m. EDT                     
                
                

Share

The Federal Open Market Committee on Tuesday announced its tentative meeting schedule for 2017:

January 31-February 1 (Tuesday-Wednesday)

March 14-15 (Tuesday-Wednesday)

May 2-3 (Tuesday-Wednesday)

June 13-14 (Tuesday-Wednesday)

July 25-26 (Tuesday-Wednesday)

September 19-20 (Tuesday-Wednesday)

October 31-November 1 (Tuesday-Wednesday)

December 12-13 (Tuesday-Wednesday)

January 30-31, 2018 (Tuesday-Wednesday)

The Chair's quarterly news conferences will take place following the March, June, September, and December meetings.

For media inquiries, call 202-452-2955."
06/24/2016,"June 24, 2016

For immediate release                     
                
                

Share

The Federal Reserve is carefully monitoring developments in global financial markets, in cooperation with other central banks, following the results of the U.K. referendum on membership in the European Union. The Federal Reserve is prepared to provide dollar liquidity through its existing swap lines with central banks, as necessary, to address pressures in global funding markets, which could have adverse implications for the U.S. economy.

For media inquiries, call 202-452-2955."
06/15/2016,"June 15, 2016

For release at 2:00 p.m. EDT                     
                
                

Share

Information received since the Federal Open Market Committee met in April indicates that the pace of improvement in the labor market has slowed while growth in economic activity appears to have picked up. Although the unemployment rate has declined, job gains have diminished. Growth in household spending has strengthened. Since the beginning of the year, the housing sector has continued to improve and the drag from net exports appears to have lessened, but business fixed investment has been soft. Inflation has continued to run below the Committee's 2 percent longer-run objective, partly reflecting earlier declines in energy prices and in prices of non-energy imports. Market-based measures of inflation compensation declined; most survey-based measures of longer-term inflation expectations are little changed, on balance, in recent months.

Consistent with its statutory mandate, the Committee seeks to foster maximum employment and price stability. The Committee currently expects that, with gradual adjustments in the stance of monetary policy, economic activity will expand at a moderate pace and labor market indicators will strengthen. Inflation is expected to remain low in the near term, in part because of earlier declines in energy prices, but to rise to 2 percent over the medium term as the transitory effects of past declines in energy and import prices dissipate and the labor market strengthens further. The Committee continues to closely monitor inflation indicators and global economic and financial developments.

Against this backdrop, the Committee decided to maintain the target range for the federal funds rate at 1/4 to 1/2 percent. The stance of monetary policy remains accommodative, thereby supporting further improvement in labor market conditions and a return to 2 percent inflation.

In determining the timing and size of future adjustments to the target range for the federal funds rate, the Committee will assess realized and expected economic conditions relative to its objectives of maximum employment and 2 percent inflation. This assessment will take into account a wide range of information, including measures of labor market conditions, indicators of inflation pressures and inflation expectations, and readings on financial and international developments. In light of the current shortfall of inflation from 2 percent, the Committee will carefully monitor actual and expected progress toward its inflation goal. The Committee expects that economic conditions will evolve in a manner that will warrant only gradual increases in the federal funds rate; the federal funds rate is likely to remain, for some time, below levels that are expected to prevail in the longer run. However, the actual path of the federal funds rate will depend on the economic outlook as informed by incoming data.

The Committee is maintaining its existing policy of reinvesting principal payments from its holdings of agency debt and agency mortgage-backed securities in agency mortgage-backed securities and of rolling over maturing Treasury securities at auction, and it anticipates doing so until normalization of the level of the federal funds rate is well under way. This policy, by keeping the Committee's holdings of longer-term securities at sizable levels, should help maintain accommodative financial conditions.

Voting for the FOMC monetary policy action were: Janet L. Yellen, Chair; William C. Dudley, Vice Chairman; Lael Brainard; James Bullard; Stanley Fischer; Esther L. George; Loretta J. Mester; Jerome H. Powell; Eric Rosengren; and Daniel K. Tarullo.

Implementation Note issued June 15, 2016"
05/24/2016,"May 24, 2016

For release at 2:00 p.m. EDT                     
                
                

Share

The Federal Reserve Board on Tuesday released the minutes of its discount rate meetings from March 28 through April 25, 2016.

The minutes are attached.

For media inquiries, call 202-452-2955."
05/19/2016,"May 19, 2016

For release at 3:30 p.m. EDT                     
                
                

Share

On May 19, 2016, the Federal Reserve conducted a floating-rate offering of term deposits through its Term Deposit Facility. The operation offered seven-day term deposits with the rate set equal to the sum of the interest rate paid on excess reserves plus a fixed spread of 1 basis point.

Following are the results of the operation:

The awarded deposits will settle on May 19, 2016, and will mature on May 26, 2016. The operation effective rate will apply to all awarded deposits.

For media inquiries, call 202-452-2955."
05/18/2016,"May 18, 2016

For release at 2:00 p.m. EDT                     
                
                

Share

The Federal Reserve Board and the Federal Open Market Committee on Wednesday released the attached minutes of the Committee meeting held on April 26-27, 2016.

The minutes for each regularly scheduled meeting of the Committee ordinarily are made available three weeks after the day of the policy decision and subsequently are published in the Boardâs Annual Report. The descriptions of economic and financial conditions contained in these minutes are based solely on the information that was available to the Committee at the time of the meeting.

FOMC minutes can be viewed on the Boardâs website at http://www.federalreserve.gov/monetarypolicy/fomccalendars.htm.

Minutes of the Federal Open Market Committee
April 26-27, 2016: HTML | PDF"
05/12/2016,"May 12, 2016

For release at 10:00 a.m. EDT                     
                
                

Share

The Federal Reserve plans to continue its previously announced periodic testing of the Term Deposit Facility (TDF) with one operation in May. These operations are aimed at ensuring the operational readiness of the TDF and providing eligible institutions with an opportunity to maintain familiarity with term deposit procedures. The TDF test operations are a matter of prudent planning and have no implications for the near-term conduct of monetary policy. The Federal Reserve plans to conduct a similar routine TDF test operation each quarter in 2016. The schedule and terms for future test operations will be announced at later dates.

On May 19, 2016, the Federal Reserve will conduct a floating-rate offering of term deposits with an early withdrawal feature through its TDF. The Federal Reserve will offer seven-day term deposits with a rate set equal to the sum of the interest rate paid on excess reserves plus a fixed spread of 1 basis point. The maximum tender amount per institution will be $5,000,000,000. The operation window will be open from 10:30 a.m. EDT to 12:30 p.m. EDT, and awarded deposits will settle the same day the operation is executed.

Description of Operation and Tender Parameters

Submission of Tender
Participants must submit tenders by accessing the Term Deposit Facility application (https://www.federalreserve.org/arrow/ARROWWeb/home.do) between the opening time and the closing time on the operation date.

All tenders that are complete and compliant with the operation parameters listed above will be automatically awarded in full.

Early Withdrawal
The penalty for obtaining a return of funds prior to the maturity date includes the forfeiture of all interest on the term deposit plus an additional fee of 0.75000 percent at an annual rate applied to the principal over the entire term of the deposit.  Requests for early withdrawal must be made between 10:00 a.m. EDT and 12:00 p.m. EDT.

See the TDF Resource Center for additional details regarding this feature and the terms and conditions for early withdrawal (www.frbservices.org/centralbank/term_deposit_facility.html).

Notification
Participants will be able to view their awards by accessing the Term Deposit Facility application.

Summary operation results will be published on the Board of Governors' website (http://www.federalreserve.gov/monetarypolicy/tdf.htm) at approximately 3:30 p.m. EDT on the notification date.

The operation will be conducted as specified in this announcement, Regulation D, and the terms and conditions of the Term Deposit Facility (http://www.frbservices.org/centralbank/term_deposit_facility.html).

Additional information, including the steps that institutions must complete to be eligible to participate in term deposit operations are available at http://www.frbservices.org/centralbank/term_deposit_facility.html.

For media inquiries, call 202-452-2955."
04/27/2016,"April 27, 2016

For release at 2:00 p.m. EDT                     
                
                

Share

Information received since the Federal Open Market Committee met in March indicates that labor market conditions have improved further even as growth in economic activity appears to have slowed. Growth in household spending has moderated, although households' real income has risen at a solid rate and consumer sentiment remains high. Since the beginning of the year, the housing sector has improved further but business fixed investment and net exports have been soft. A range of recent indicators, including strong job gains, points to additional strengthening of the labor market. Inflation has continued to run below the Committee's 2 percent longer-run objective, partly reflecting earlier declines in energy prices and falling prices of non-energy imports. Market-based measures of inflation compensation remain low; survey-based measures of longer-term inflation expectations are little changed, on balance, in recent months.

Consistent with its statutory mandate, the Committee seeks to foster maximum employment and price stability. The Committee currently expects that, with gradual adjustments in the stance of monetary policy, economic activity will expand at a moderate pace and labor market indicators will continue to strengthen. Inflation is expected to remain low in the near term, in part because of earlier declines in energy prices, but to rise to 2 percent over the medium term as the transitory effects of declines in energy and import prices dissipate and the labor market strengthens further. The Committee continues to closely monitor inflation indicators and global economic and financial developments.

Against this backdrop, the Committee decided to maintain the target range for the federal funds rate at 1/4 to 1/2 percent. The stance of monetary policy remains accommodative, thereby supporting further improvement in labor market conditions and a return to 2 percent inflation.

In determining the timing and size of future adjustments to the target range for the federal funds rate, the Committee will assess realized and expected economic conditions relative to its objectives of maximum employment and 2 percent inflation. This assessment will take into account a wide range of information, including measures of labor market conditions, indicators of inflation pressures and inflation expectations, and readings on financial and international developments. In light of the current shortfall of inflation from 2 percent, the Committee will carefully monitor actual and expected progress toward its inflation goal. The Committee expects that economic conditions will evolve in a manner that will warrant only gradual increases in the federal funds rate; the federal funds rate is likely to remain, for some time, below levels that are expected to prevail in the longer run. However, the actual path of the federal funds rate will depend on the economic outlook as informed by incoming data.

The Committee is maintaining its existing policy of reinvesting principal payments from its holdings of agency debt and agency mortgage-backed securities in agency mortgage-backed securities and of rolling over maturing Treasury securities at auction, and it anticipates doing so until normalization of the level of the federal funds rate is well under way. This policy, by keeping the Committee's holdings of longer-term securities at sizable levels, should help maintain accommodative financial conditions.

Voting for the FOMC monetary policy action were: Janet L. Yellen, Chair; William C. Dudley, Vice Chairman; Lael Brainard; James Bullard; Stanley Fischer; Loretta J. Mester; Jerome H. Powell; Eric Rosengren; and Daniel K. Tarullo. Voting against the action was Esther L. George, who preferred at this meeting to raise the target range for the federal funds rate to 1/2 to 3/4 percent.

Implementation Note issued April 27, 2016"
04/12/2016,"April 12, 2016

For release at 2:00 p.m. EDT                     
                
                

Share

The Federal Reserve Board on Tuesday released the minutes of its discount rate meetings for February 8 and March 14, 2016.

The minutes are attached.

For media inquiries, call 202-452-2955."
